report_date,report_kind,report_period_start,report_period_end,snapshot_time_et,rank,project,momentum_score,momentum_band
2026-03-15,weekly,2026-03-09,2026-03-15,2026-03-15T08:01:00-04:00,1,Ethereum,92,Exceptional
2026-03-15,weekly,2026-03-09,2026-03-15,2026-03-15T08:01:00-04:00,2,Bitcoin,86,Strong
2026-03-15,weekly,2026-03-09,2026-03-15,2026-03-15T08:01:00-04:00,3,Curve,81,Strong
2026-03-15,weekly,2026-03-09,2026-03-15,2026-03-15T08:01:00-04:00,4,Celestia,76,Strong
2026-03-15,weekly,2026-03-09,2026-03-15,2026-03-15T08:01:00-04:00,5,Sui,72,Elevated
2026-03-15,weekly,2026-03-09,2026-03-15,2026-03-15T08:01:00-04:00,6,Foundry,68,Elevated
2026-03-15,weekly,2026-03-09,2026-03-15,2026-03-15T08:01:00-04:00,7,Optimism,64,Elevated
2026-03-15,weekly,2026-03-09,2026-03-15,2026-03-15T08:01:00-04:00,8,Aptos,60,Elevated
2026-03-15,weekly,2026-03-09,2026-03-15,2026-03-15T08:01:00-04:00,9,Chainlink,56,Moderate
2026-03-15,weekly,2026-03-09,2026-03-15,2026-03-15T08:01:00-04:00,10,Hardhat,52,Moderate  
